name,sptnum_pri,sptnumerr_pri,sptnum_sec,sptnumerr_sec,sptnum_ter,sptnumerr_ter,ref_spt,mass_pri,masserr_pri,mass_sec,masserr_sec,ref_mass,sep_bin,seperr_bin,pa_bin,paerr_bin,offset_ew_bin,offseterr_ew_bin,offset_ns_bin,offseterr_ns_bin,sep_tri,seperr_tri,pa_tri,paerr_tri,epoch_astrometry,ref_astrometry
LHS 2397a,,,,,,,,,,,,,274,4,87.3,0.8,,,,,,,,,1997-04-12,2009ApJ...699..168D
2MASS J11275346+7411076,8,,9,,,,2005ApJ...621.1023S,,,,,,246,8,80.23,1.72,,,,,,,,,2002-02-07,2003ApJ...587..407C
2MASSW J1146345+223053,,,,,,,,,,,,,290,,199,,,,,,,,,,2000-04-28,
2MASSW J1207334-393254,,,,,,,,,,,,,778,,125.8,,,,,,,,,,2004-04-27,
2MASS J12095613-1004008,,,,,,,,,,,,,143,6,311,2,,,,,,,,,2007-04-22,2010ApJ...722..311L
WISEPC J121756.91+162640.2,,,,,,,,,,,,,758.2,1.4,14.5,0.13,,,,,,,,,2012-01-29,2012ApJ...758...57L
2MASS J12255432-2739466,,,,,,,,,,,,,282,5,250,7,,,,,,,,,,
DENIS-P J122813.8-154711,,,,,,,,,,,,,255.4,2.8,18.3,0.3,,,,,,,,,2001-06-16,
LP 495-189,6,,6.5,,,,2012ApJ...754...44J,,,,,,210,30,257,2.5,,,,,,,,,,2006MNRAS.368.1917L
2MASSW J1239272+551537,15,,16,,,,2013ApJ...778...36R,,,,,,213,,7,,,,,,,,,,2001-03-18,
VHS J125601.92-125723.9 AB,,,,,,,,,,,,,123.9,0.5,169.6,0.1,,,,,,,,,2015-11-29,2016ApJ...818L..12S
Kelu-1,,,,,,,,,,,,,366,0.6,222.74,0.1,,,,,,,,,2008-06-03,
2MASS J13113921+8032219,,,,,,,,,,,,,267,6,168.15,0.48,,,,,,,,,2002-04-25,2003ApJ...587..407C
LSPM J1314+1320,,,,,,,,,,,,,130,20,46,2,,,,,,,,,,2006MNRAS.368.1917L
2MASSI J1315309-264951,,,,,,,,,,,,,336,6,146.4,0.5,,,,,,,,,,2011ApJ...739...49B
2MASS J13411160-3052505,,,,,,,,,,,,,279,17,317.9,0.6,,,,,,,,,2014-01-13,2015AJ....150..163B
2MASS J14044941-3159329,,,,,,,,,,,,,133.3,0.5,312.23,0.17,,,,,,,,,2006-06-03,2017ApJS..231...15D
WT 460,6,,11,,,,2006A&A...460L..19M,,,,,,511,1,212.6,0.1,,,,,,,,,2005-05-01,2006A&A...460L..19M
2MASSI J1426316+155701,,,,,,,,,,,,,152,5,344.05,0.5,,,,,,,,,2001-06-20,2002ApJ...566.1095C
2MASSI J1430435+291540,12,,13.5,,,,2013ApJ...778...36R,,,,,,88,2.8,327.5,1.2,,,,,,,,,2001-04-19,
